user_id,session,date,total_clicks,item_clicks,multi_channel,avg_time_in_one_click,total_time_in_a_session,avg_price,purchase,num_transaction,discount,purchase_discount,new,weekday,weekend,year,week,month
00F046E41BF8A29E,149,10-Nov-16,3,3,0,100,300,52.86666667,0,0,1,0,0,5,0,2016,46,11
00F046E41BF8A29E,150,20-Oct-16,1,1,0,60,60,159,0,0,0,0,0,5,0,2016,43,10
00F046E41BF8A29E,151,3-Sep-16,1,1,0,60,60,85.7,0,0,1,0,0,7,1,2016,36,9
00F046E41BF8A29E,152,6-Nov-15,1,1,0,60,60,0,0,0,0,0,0,6,0,2015,45,11
010659F0705D7B26,153,24-Dec-16,4,4,0,60.5,242,74.83,1,2,1,0,0,7,1,2016,52,12
010CD9A3B006927E,154,7-Jul-15,1,1,0,128,128,70,1,1,1,1,1,3,0,2015,28,7
010FDCDF4838CCF0,155,11-Nov-16,3,3,0,1800.333333,5401,98.33333333,1,1,1,1,0,6,0,2016,46,11
0116065137D9C745,156,1-Nov-16,6,6,0,100.3333333,602,74,0,0,1,0,0,3,0,2016,45,11
0116065137D9C745,157,20-Sep-15,14,14,0,51,714,43.61538462,1,1,1,1,0,1,1,2015,39,9
0116065137D9C745,158,23-Jul-15,1,1,0,60,60,102,0,0,1,0,0,5,0,2015,30,7
0116065137D9C745,159,28-Jun-15,6,6,0,199.5,1197,268.4666667,0,0,1,0,0,1,1,2015,27,6
0116065137D9C745,160,10-May-15,4,4,0,59.25,237,128,0,0,1,0,0,1,1,2015,20,5
0116065137D9C745,161,8-Feb-15,1,1,0,572,572,128,0,0,1,0,0,1,1,2015,7,2
0118E3858FDD4210,162,30-Dec-16,1,1,0,76,76,24.9,1,1,1,1,0,6,0,2016,53,12
0118E3858FDD4210,163,19-Sep-16,1,1,0,62,62,82,0,0,1,0,0,2,0,2016,39,9
0118E3858FDD4210,164,20-Jan-15,1,1,0,60,60,60,0,0,1,0,0,3,0,2015,4,1
011B16A62EFEB0E2,165,17-Nov-15,1,1,0,135,135,,1,1,0,0,1,3,0,2015,47,11
01229E2BA2857168,166,3-Sep-16,2,2,0,539,1078,91.5,1,1,1,1,0,7,1,2016,36,9
01241B1BFFB394C6,167,8-Feb-15,8,8,0,37.375,299,50.05,1,1,1,1,1,1,1,2015,7,2
0127CEA0DFAFE0BD,168,14-Sep-16,1,1,0,60,60,182,0,0,0,0,0,4,0,2016,38,9
0127CEA0DFAFE0BD,169,1-Sep-16,1,1,0,120,120,59.8,0,0,1,0,0,5,0,2016,36,9
0127CEA0DFAFE0BD,170,6-Mar-16,4,4,0,244.75,979,44.8,1,1,1,1,0,1,1,2016,11,3
0127CEA0DFAFE0BD,171,29-Feb-16,8,8,0,117.375,939,118.515,1,2,1,1,0,2,0,2016,10,2
